street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Calle Trinidad,43.5442965,-5.6637389,44,44,552,552,1,False
Calle Luís de Vereterra Estrada,43.5064309,-5.7295339,117,117,194,194,1,False
Camín Real de Cagüezo,43.4861822,-5.6790138,42,42,525,525,1,False
Calle Jorge Guillén,43.5223236,-5.6886208,37,37,101,101,1,False
Calle Esmeralda Maseda,43.5165023,-5.6820343,12,36,162,54,1,False
Iglesia de San Miguel,43.4593415,-3.5798883,50,50,305,305,1,False
Calle Los Eucaliptos,41.6615686,-4.7513769,35,35,425,425,1,False
Calle La Matiella,43.5829701,-5.7760015,43,43,599,599,1,False
Calle Padre Colunga,43.3955912,-5.7051899,36,42,330,283,0.752204,False
Camino del Monte Naranco,43.54711,-5.7181749,54,54,20,20,1,False
A1 - Acceso principal,20.0491329,-99.3393335,23,27,502,427,0.905081,True
Carretera Candás -Tabaza,43.5876617,-5.7746597,70,70,499,499,1,False
Urbanización El Rinconín,43.5193063,-5.6399053,104,104,45,45,1,False
Camín de los Perales,43.4862262,-5.7034707,38,38,282,282,1,False
Puente de El Molinón,43.5353847,-5.6377475,29,34,221,189,1,False
Calle Eloy Fernández Caravera,43.551692,-5.9205893,26,26,312,312,1,False
Acceso a Asturina de Zinc,43.5650047,-5.7097745,39,39,477,477,1,False
Calle La Cuesta,43.53905,-5.6722083,28,28,263,263,1,False
Calle Ramón Prieto Bances,43.369006,-5.8502439,29,36,99,80,1,False
CSMI Jovellanos,43.541727,-5.6614783,8,8,21,21,1,False
Calle Begoña,43.5414571,-5.6625925,23,23,311,311,1,False
Calle Celestino Villamil,43.3585326,-5.8663929,21,27,1030,801,0.993114,False
Camín de Campices,43.4850737,-5.6199934,49,49,1450,1450,1,False
Camin del Castañeu,43.4744927,-5.7129982,41,41,837,837,1,False
Calle San Agustín,43.5413878,-5.6599796,23,23,311,311,1,False
Camín de Les Poncianes,43.4707484,-5.7102691,53,53,1368,1368,1,False
Calle Eduardo de Fraga Torrejón,43.3837536,-5.8213169,26,33,794,625,0.966128,True
Calle Carmen Conde,43.5209753,-5.6886576,66,66,34,34,1,False
Camín de Canario,43.4850737,-5.6199934,49,49,1450,1450,1,False
Camino de La Picota,43.5246165,-5.696295,76,76,23,23,1,False
Calle Esther Sastre,43.5307138,-5.6974632,54,54,1118,1118,1,False
Camino Cañaveral,43.5338507,-5.6275352,14,19,289,213,0.75493,True
Acceso a Caces,43.5376614,-5.595652,50,50,458,458,1,False
Calle Luis Armiñán,43.3584831,-5.5079606,46,46,116,116,1,False
Calle Maestro Martín Galache,43.3874769,-5.6629192,47,47,524,524,1,False
Camín de la Carrial,43.4795803,-5.7446094,44,69,26,16,0.88,False
Calle Santo Ángel,36.9185409,-3.0288243,43,43,2045,2045,1,False
Calle Progreso,43.5305552,-5.6580894,33,33,219,219,1,False
Calle Río Piloña,43.5186213,-5.6623149,48,48,1664,1664,1,False
Calle Urbanización Monte Areo,43.5207997,-5.7494636,48,48,408,408,1,False
Llano la Cuesta Calle D,37.4068687,-4.4136606,69,69,747,747,1,False
El Paseín,38.4007831,-0.4088211,36,36,216,216,1,False
APK2 Longoria Carbajal,43.3645561,-5.8483504,21,28,1030,772,0.993498,False
Cai de Santolaya,43.4545704,-5.6122177,49,49,1450,1450,1,False
Calle Túnez,43.5166692,-5.6757642,48,48,971,971,1,False
Parque Dolores Fernández Duro,43.5279906,-5.6431795,49,49,1147,1147,1,False
Carretera de Pruneda a Ceceda,42.5025078,-5.4206673,46,46,200,200,1,False
Calle Farenheit,43.5103462,-5.6825512,113,113,128,128,1,False
Camino de la Quintana,43.4969601,-5.6951832,29,29,171,171,1,False
Puente de Las Mestas,43.5322695,-5.6418889,35,35,388,388,1,False
Viaducto de Pinzales,43.4805537,-5.7503873,100,100,636,636,1,False
Alto del Pison,43.5380262,-5.6284532,45,45,540,540,1,False
Calle Domingo Rodríguez,43.3467279,-5.9689744,29,29,949,949,1,False
Camino de Los Cedros,43.5393849,-5.6246818,44,44,552,552,1,False
Calle Abundio Gascón,43.3770199,-5.8359856,25,31,907,731,0.972534,False
Calle Los Pozos,-34.664888,-58.666351,38,38,1592,1592,1,False
Camín de Reganorio,43.4981497,-5.6847326,46,46,222,222,1,False
Camín de La Pega,43.4954674,-5.6757745,46,46,222,222,1,False
Calle el Rincón de la Vega,36.7563034,-5.5090979,46,46,1398,1398,1,False
Iglesia de Barros,43.5410753,-5.7056426,42,42,462,462,1,False
Calle Alonso Quintanilla,43.5398219,-5.7059454,20,26,477,367,0.974448,False
Camino de los Campinos,43.4635541,-5.6266285,36,36,914,914,1,False
Estación ALSA,43.5407689,-5.7221987,24,24,108,108,1,False
Camin de Les Cabañes,43.4707484,-5.7102691,53,53,1368,1368,1,False
Calle Claudio Luanco,43.5550038,-5.9278638,21,25,386,325,0.984917,False
La Carbayera,43.5275629,-5.615159,49,49,1147,1147,1,False
Plaza de La Cruz,43.5206099,-5.6754705,53,53,1368,1368,1,False
Calle Canga Argüelles,43.539347,-5.650239,35,35,388,388,1,False
Calle Montes del Sueve,43.5279827,-5.6834987,87,87,51,51,1,False
Cai El Rosal,4.8520719,-74.2632702,41,41,1319,1319,1,False
Plaza de la Sentencia,36.6777178,-6.1305339,25,29,721,621,0.891156,True
Calle Cabrilleros,43.5413277,-5.7034571,42,42,462,462,1,False
Camino del puente romano,42.6319116,-3.4926746,21,21,86,86,1,False
Calle Reguera Travieses,43.5430413,-5.6645497,29,29,169,169,1,False
Camín del Contrucu,43.458737,-5.7560442,100,100,636,636,1,False
Calle Celestino Zuazua,43.3471229,-5.9690952,62,62,627,627,1,False
Calle Jimenez Díaz,40.9074144,-3.0075045,86,86,670,670,1,False
Cai Mar Mediterraneu,39.8916995,4.2982233,48,48,585,585,1,False
Carretera de Barredos a San Julián de Bimenes,43.5280275,-5.7388358,50,50,383,383,1,False
Calle Ventura Alvarez Sala,43.5445164,-5.6622462,19,25,321,244,0.976058,False
Calle Lago Ercina,43.5524834,-5.8997801,58,58,438,438,1,False
Cai La Soledá,43.5470563,-5.6645862,17,23,421,311,0.972984,False
Acceso a la Central Térmica de Lada,36.1840509,-5.4353939,82,82,8842,8842,1,False
Camín de Santolaya Valdornón,43.4650801,-5.611887,49,49,1450,1450,1,False
Camín de Morales,43.4850737,-5.6199934,49,49,1450,1450,1,False
Calle Rendueles Llanos,43.5354159,-5.6564462,35,35,388,388,1,False
Calle Favila,40.4143465,-4.7030577,62,62,817,817,1,False
